,file,id_a,id_b,count_a,count_b
58,1108_186_4_5_2_S1059,186,4,0,14
59,977_4_187_3_3_S935,4,187,6,1
60,820_4_200_3_5_S787,4,200,12,0
61,824_4_200_3_9_S791,4,200,2,0
62,487_187_200_7_2_S466,187,200,6,0
63,752_131_184_5_1_S723,131,184,12739,5
64,385_186_156_8_1_S368,186,156,57,6837
65,509_187_184_1_4_S488,187,184,2,3
66,155_186_184_5_7_S151,186,184,0,19
67,990_186_200_3_1_S948,186,200,5,0
68,65_4_156_2_8_S65,4,156,14,347
69,758_4_184_4_6_S729,4,184,6406,857
70,522_2_156_4_5_S501,2,156,0,0
71,411_131_184_8_3_S394,131,184,5,1
72,1083_187_184_1_7_S1034,187,184,1,0
73,722_2_200_9_7_S693,2,200,5988,31
74,248_186_156_2_6_S240,186,156,0,0
75,761_4_184_4_4_S732,4,184,72,1075
76,697_4_200_1_6_S668,4,200,6,0
77,313_131_187_8_4_S301,131,187,1008,1
78,897_4_184_6_2_S860,4,184,4,1
79,930_2_187_3_1_S893,2,187,0,1
80,1129_186_200_9_3_S1080,186,200,24,0
81,32_4_156_2_1_S32,4,156,3149,22
82,526_184_200_7_4_S505,184,200,4,0
83,88_2_4_7_8_S88,2,4,0,258
84,808_2_200_6_1_S775,2,200,29,0
85,623_186_156_4_4_S598,186,156,1,12
86,737_186_187_10_3_S708,186,187,117,10961
87,21_4_156_8_8_S21,4,156,996,7
88,962_4_187_9_2_S920,4,187,6123,1
89,228_186_156_10_6_S220,186,156,1,11867
90,1180_131_184_6_4_S1126,131,184,180,4
91,1127_186_200_9_1_S1078,186,200,6305,0
92,1162_2_131_8_2_S1108,2,131,1,28651
93,584_2_156_10_6_S559,2,156,0,10
94,75_4_156_3_5_S75,4,156,886,816
95,726_4_131_7_1_S697,4,131,5,9337
96,894_186_200_4_3_S857,186,200,10,0
97,54_2_4_9_2_S54,2,4,0,1278
98,1194_131_200_3_6_S1140,131,200,8,0
99,491_187_200_7_6_S470,187,200,10974,0
100,374_186_156_10_1_S362,186,156,2,428
101,1198_131_200_10_1_S1144,131,200,7,0
102,999_186_187_2_5_S957,186,187,7,916
